"","DAY","variable","value"
"1","1-Jul","X1996",98
"2","2-Jul","X1996",97
"3","3-Jul","X1996",97
"4","4-Jul","X1996",90
"5","5-Jul","X1996",89
"6","6-Jul","X1996",93
"7","7-Jul","X1996",93
"8","8-Jul","X1996",91
"9","9-Jul","X1996",93
"10","10-Jul","X1996",93
"11","11-Jul","X1996",90
"12","12-Jul","X1996",91
"13","13-Jul","X1996",93
"14","14-Jul","X1996",93
"15","15-Jul","X1996",82
"16","16-Jul","X1996",91
"17","17-Jul","X1996",96
"18","18-Jul","X1996",95
"19","19-Jul","X1996",96
"20","20-Jul","X1996",99
"21","21-Jul","X1996",91
"22","22-Jul","X1996",95
"23","23-Jul","X1996",91
"24","24-Jul","X1996",93
"25","25-Jul","X1996",84
"26","26-Jul","X1996",84
"27","27-Jul","X1996",82
"28","28-Jul","X1996",79
"29","29-Jul","X1996",90
"30","30-Jul","X1996",91
"31","31-Jul","X1996",87
"32","1-Aug","X1996",86
"33","2-Aug","X1996",90
"34","3-Aug","X1996",84
"35","4-Aug","X1996",91
"36","5-Aug","X1996",93
"37","6-Aug","X1996",88
"38","7-Aug","X1996",91
"39","8-Aug","X1996",84
"40","9-Aug","X1996",90
"41","10-Aug","X1996",89
"42","11-Aug","X1996",88
"43","12-Aug","X1996",86
"44","13-Aug","X1996",84
"45","14-Aug","X1996",86
"46","15-Aug","X1996",89
"47","16-Aug","X1996",90
"48","17-Aug","X1996",91
"49","18-Aug","X1996",91
"50","19-Aug","X1996",90
"51","20-Aug","X1996",89
"52","21-Aug","X1996",90
"53","22-Aug","X1996",91
"54","23-Aug","X1996",91
"55","24-Aug","X1996",91
"56","25-Aug","X1996",84
"57","26-Aug","X1996",88
"58","27-Aug","X1996",84
"59","28-Aug","X1996",86
"60","29-Aug","X1996",88
"61","30-Aug","X1996",84
"62","31-Aug","X1996",82
"63","1-Sep","X1996",80
"64","2-Sep","X1996",73
"65","3-Sep","X1996",87
"66","4-Sep","X1996",84
"67","5-Sep","X1996",87
"68","6-Sep","X1996",89
"69","7-Sep","X1996",89
"70","8-Sep","X1996",89
"71","9-Sep","X1996",91
"72","10-Sep","X1996",84
"73","11-Sep","X1996",86
"74","12-Sep","X1996",88
"75","13-Sep","X1996",78
"76","14-Sep","X1996",79
"77","15-Sep","X1996",86
"78","16-Sep","X1996",82
"79","17-Sep","X1996",82
"80","18-Sep","X1996",78
"81","19-Sep","X1996",79
"82","20-Sep","X1996",79
"83","21-Sep","X1996",78
"84","22-Sep","X1996",81
"85","23-Sep","X1996",84
"86","24-Sep","X1996",84
"87","25-Sep","X1996",87
"88","26-Sep","X1996",84
"89","27-Sep","X1996",79
"90","28-Sep","X1996",75
"91","29-Sep","X1996",72
"92","30-Sep","X1996",64
"93","1-Oct","X1996",66
"94","2-Oct","X1996",72
"95","3-Oct","X1996",84
"96","4-Oct","X1996",70
"97","5-Oct","X1996",66
"98","6-Oct","X1996",64
"99","7-Oct","X1996",60
"100","8-Oct","X1996",78
"101","9-Oct","X1996",70
"102","10-Oct","X1996",72
"103","11-Oct","X1996",69
"104","12-Oct","X1996",69
"105","13-Oct","X1996",73
"106","14-Oct","X1996",79
"107","15-Oct","X1996",81
"108","16-Oct","X1996",80
"109","17-Oct","X1996",82
"110","18-Oct","X1996",66
"111","19-Oct","X1996",63
"112","20-Oct","X1996",68
"113","21-Oct","X1996",79
"114","22-Oct","X1996",81
"115","23-Oct","X1996",69
"116","24-Oct","X1996",73
"117","25-Oct","X1996",73
"118","26-Oct","X1996",75
"119","27-Oct","X1996",75
"120","28-Oct","X1996",81
"121","29-Oct","X1996",82
"122","30-Oct","X1996",82
"123","31-Oct","X1996",81
"124","1-Jul","X1997",86
"125","2-Jul","X1997",90
"126","3-Jul","X1997",93
"127","4-Jul","X1997",91
"128","5-Jul","X1997",84
"129","6-Jul","X1997",84
"130","7-Jul","X1997",75
"131","8-Jul","X1997",87
"132","9-Jul","X1997",84
"133","10-Jul","X1997",87
"134","11-Jul","X1997",84
"135","12-Jul","X1997",88
"136","13-Jul","X1997",86
"137","14-Jul","X1997",90
"138","15-Jul","X1997",91
"139","16-Jul","X1997",91
"140","17-Jul","X1997",89
"141","18-Jul","X1997",89
"142","19-Jul","X1997",89
"143","20-Jul","X1997",90
"144","21-Jul","X1997",89
"145","22-Jul","X1997",84
"146","23-Jul","X1997",87
"147","24-Jul","X1997",88
"148","25-Jul","X1997",89
"149","26-Jul","X1997",89
"150","27-Jul","X1997",91
"151","28-Jul","X1997",91
"152","29-Jul","X1997",89
"153","30-Jul","X1997",88
"154","31-Jul","X1997",72
"155","1-Aug","X1997",80
"156","2-Aug","X1997",84
"157","3-Aug","X1997",88
"158","4-Aug","X1997",89
"159","5-Aug","X1997",88
"160","6-Aug","X1997",84
"161","7-Aug","X1997",84
"162","8-Aug","X1997",80
"163","9-Aug","X1997",73
"164","10-Aug","X1997",80
"165","11-Aug","X1997",86
"166","12-Aug","X1997",88
"167","13-Aug","X1997",88
"168","14-Aug","X1997",87
"169","15-Aug","X1997",88
"170","16-Aug","X1997",91
"171","17-Aug","X1997",91
"172","18-Aug","X1997",89
"173","19-Aug","X1997",89
"174","20-Aug","X1997",88
"175","21-Aug","X1997",82
"176","22-Aug","X1997",79
"177","23-Aug","X1997",81
"178","24-Aug","X1997",82
"179","25-Aug","X1997",84
"180","26-Aug","X1997",87
"181","27-Aug","X1997",90
"182","28-Aug","X1997",90
"183","29-Aug","X1997",91
"184","30-Aug","X1997",91
"185","31-Aug","X1997",88
"186","1-Sep","X1997",88
"187","2-Sep","X1997",91
"188","3-Sep","X1997",93
"189","4-Sep","X1997",81
"190","5-Sep","X1997",81
"191","6-Sep","X1997",82
"192","7-Sep","X1997",86
"193","8-Sep","X1997",88
"194","9-Sep","X1997",84
"195","10-Sep","X1997",80
"196","11-Sep","X1997",82
"197","12-Sep","X1997",86
"198","13-Sep","X1997",87
"199","14-Sep","X1997",87
"200","15-Sep","X1997",88
"201","16-Sep","X1997",88
"202","17-Sep","X1997",90
"203","18-Sep","X1997",88
"204","19-Sep","X1997",91
"205","20-Sep","X1997",95
"206","21-Sep","X1997",89
"207","22-Sep","X1997",70
"208","23-Sep","X1997",80
"209","24-Sep","X1997",82
"210","25-Sep","X1997",66
"211","26-Sep","X1997",70
"212","27-Sep","X1997",64
"213","28-Sep","X1997",68
"214","29-Sep","X1997",77
"215","30-Sep","X1997",86
"216","1-Oct","X1997",75
"217","2-Oct","X1997",73
"218","3-Oct","X1997",75
"219","4-Oct","X1997",78
"220","5-Oct","X1997",81
"221","6-Oct","X1997",82
"222","7-Oct","X1997",82
"223","8-Oct","X1997",82
"224","9-Oct","X1997",80
"225","10-Oct","X1997",82
"226","11-Oct","X1997",82
"227","12-Oct","X1997",79
"228","13-Oct","X1997",80
"229","14-Oct","X1997",68
"230","15-Oct","X1997",63
"231","16-Oct","X1997",57
"232","17-Oct","X1997",66
"233","18-Oct","X1997",64
"234","19-Oct","X1997",69
"235","20-Oct","X1997",70
"236","21-Oct","X1997",70
"237","22-Oct","X1997",62
"238","23-Oct","X1997",63
"239","24-Oct","X1997",62
"240","25-Oct","X1997",75
"241","26-Oct","X1997",71
"242","27-Oct","X1997",57
"243","28-Oct","X1997",55
"244","29-Oct","X1997",64
"245","30-Oct","X1997",66
"246","31-Oct","X1997",60
"247","1-Jul","X1998",91
"248","2-Jul","X1998",88
"249","3-Jul","X1998",91
"250","4-Jul","X1998",91
"251","5-Jul","X1998",91
"252","6-Jul","X1998",89
"253","7-Jul","X1998",93
"254","8-Jul","X1998",95
"255","9-Jul","X1998",95
"256","10-Jul","X1998",91
"257","11-Jul","X1998",91
"258","12-Jul","X1998",86
"259","13-Jul","X1998",88
"260","14-Jul","X1998",87
"261","15-Jul","X1998",91
"262","16-Jul","X1998",87
"263","17-Jul","X1998",90
"264","18-Jul","X1998",91
"265","19-Jul","X1998",95
"266","20-Jul","X1998",91
"267","21-Jul","X1998",91
"268","22-Jul","X1998",89
"269","23-Jul","X1998",91
"270","24-Jul","X1998",91
"271","25-Jul","X1998",86
"272","26-Jul","X1998",88
"273","27-Jul","X1998",80
"274","28-Jul","X1998",88
"275","29-Jul","X1998",89
"276","30-Jul","X1998",90
"277","31-Jul","X1998",86
"278","1-Aug","X1998",86
"279","2-Aug","X1998",82
"280","3-Aug","X1998",84
"281","4-Aug","X1998",86
"282","5-Aug","X1998",90
"283","6-Aug","X1998",89
"284","7-Aug","X1998",89
"285","8-Aug","X1998",86
"286","9-Aug","X1998",82
"287","10-Aug","X1998",87
"288","11-Aug","X1998",88
"289","12-Aug","X1998",84
"290","13-Aug","X1998",86
"291","14-Aug","X1998",80
"292","15-Aug","X1998",82
"293","16-Aug","X1998",86
"294","17-Aug","X1998",84
"295","18-Aug","X1998",87
"296","19-Aug","X1998",90
"297","20-Aug","X1998",79
"298","21-Aug","X1998",84
"299","22-Aug","X1998",87
"300","23-Aug","X1998",87
"301","24-Aug","X1998",88
"302","25-Aug","X1998",90
"303","26-Aug","X1998",91
"304","27-Aug","X1998",89
"305","28-Aug","X1998",90
"306","29-Aug","X1998",93
"307","30-Aug","X1998",93
"308","31-Aug","X1998",91
"309","1-Sep","X1998",87
"310","2-Sep","X1998",84
"311","3-Sep","X1998",77
"312","4-Sep","X1998",90
"313","5-Sep","X1998",91
"314","6-Sep","X1998",89
"315","7-Sep","X1998",90
"316","8-Sep","X1998",89
"317","9-Sep","X1998",79
"318","10-Sep","X1998",78
"319","11-Sep","X1998",81
"320","12-Sep","X1998",84
"321","13-Sep","X1998",89
"322","14-Sep","X1998",87
"323","15-Sep","X1998",87
"324","16-Sep","X1998",88
"325","17-Sep","X1998",87
"326","18-Sep","X1998",82
"327","19-Sep","X1998",80
"328","20-Sep","X1998",82
"329","21-Sep","X1998",82
"330","22-Sep","X1998",88
"331","23-Sep","X1998",84
"332","24-Sep","X1998",81
"333","25-Sep","X1998",82
"334","26-Sep","X1998",84
"335","27-Sep","X1998",87
"336","28-Sep","X1998",80
"337","29-Sep","X1998",75
"338","30-Sep","X1998",75
"339","1-Oct","X1998",86
"340","2-Oct","X1998",78
"341","3-Oct","X1998",77
"342","4-Oct","X1998",82
"343","5-Oct","X1998",82
"344","6-Oct","X1998",73
"345","7-Oct","X1998",82
"346","8-Oct","X1998",69
"347","9-Oct","X1998",72
"348","10-Oct","X1998",73
"349","11-Oct","X1998",78
"350","12-Oct","X1998",78
"351","13-Oct","X1998",78
"352","14-Oct","X1998",75
"353","15-Oct","X1998",79
"354","16-Oct","X1998",78
"355","17-Oct","X1998",77
"356","18-Oct","X1998",78
"357","19-Oct","X1998",82
"358","20-Oct","X1998",75
"359","21-Oct","X1998",73
"360","22-Oct","X1998",63
"361","23-Oct","X1998",63
"362","24-Oct","X1998",72
"363","25-Oct","X1998",75
"364","26-Oct","X1998",79
"365","27-Oct","X1998",79
"366","28-Oct","X1998",79
"367","29-Oct","X1998",78
"368","30-Oct","X1998",82
"369","31-Oct","X1998",79
"370","1-Jul","X1999",84
"371","2-Jul","X1999",82
"372","3-Jul","X1999",87
"373","4-Jul","X1999",88
"374","5-Jul","X1999",90
"375","6-Jul","X1999",91
"376","7-Jul","X1999",82
"377","8-Jul","X1999",86
"378","9-Jul","X1999",87
"379","10-Jul","X1999",87
"380","11-Jul","X1999",82
"381","12-Jul","X1999",77
"382","13-Jul","X1999",73
"383","14-Jul","X1999",81
